CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE
Industrial,2,EFI,EASTFIELD,EAST,N/A,EMPLOYMENT
Industrial,2,MLI,MAYLAND,NORTHEAST,N/A,EMPLOYMENT
Residual Sub Area,4,09H,09H,EAST,N/A,UNDEVELOPED
Residential,1,LEB,LEWISBURG,NORTH,DEVELOPING,BUILDING OUT
Residential,1,ERL,ERLTON,CENTRE,ESTABLISHED,INNER CITY
Residential,1,COA,COACH HILL,WEST,ESTABLISHED,1980s/1990s
Residential,1,DIA,DIAMOND COVE,SOUTH,ESTABLISHED,1980s/1990s
Residential,1,THO,THORNCLIFFE,NORTH,ESTABLISHED,1950s
Residential,1,FHT,FOREST HEIGHTS,EAST,ESTABLISHED,1960s/1970s
Residential,1,HAY,HAYSBORO,SOUTH,ESTABLISHED,1950s
Industrial,2,SHI,SHEPARD INDUSTRIAL,SOUTHEAST,N/A,EMPLOYMENT
Residential,1,CSC,CITYSCAPE,NORTHEAST,DEVELOPING,BUILDING OUT
Industrial,2,ST1,STONEY 1,NORTH,N/A,EMPLOYMENT
Residual Sub Area,4,13H,13H,SOUTH,N/A,UNDEVELOPED
Residential,1,BLM,BELMONT,SOUTH,DEVELOPING,BUILDING OUT
Residential,1,DOV,DOVER,EAST,ESTABLISHED,1960s/1970s
Residential,1,MRT,MARTINDALE,NORTHEAST,ESTABLISHED,1980s/1990s
Residential,1,WAL,WALDEN,SOUTH,DEVELOPING,BUILDING OUT
Residential,1,ALP,ALPINE PARK,SOUTH,DEVELOPING,BUILDING OUT
Industrial,2,ST2,STONEY 2,NORTHEAST,N/A,EMPLOYMENT
Industrial,2,GPI,GREAT PLAINS,EAST,N/A,EMPLOYMENT
Residential,1,VAR,VARSITY,NORTHWEST,ESTABLISHED,1960s/1970s
Residential,1,COL,COLLINGWOOD,NORTHWEST,ESTABLISHED,1950s
Residential,1,QLD,QUEENSLAND,SOUTH,ESTABLISHED,1960s/1970s
Residential,1,WOO,WOODLANDS,SOUTH,ESTABLISHED,1980s/1990s
Residential,1,OAK,OAKRIDGE,SOUTH,ESTABLISHED,1960s/1970s
Residential,1,SOW,SOUTHWOOD,SOUTH,ESTABLISHED,1960s/1970s
Residential,1,RDL,ROSEDALE,CENTRE,ESTABLISHED,INNER CITY
Residential,1,APP,APPLEWOOD PARK,EAST,ESTABLISHED,2000s
Residential,1,RID,RIDEAU PARK,CENTRE,ESTABLISHED,INNER CITY
Residential,1,ARB,ARBOUR LAKE,NORTHWEST,ESTABLISHED,2000s
Residual Sub Area,4,02F,02F,NORTHWEST,N/A,OTHER
Residential,1,BVD,BELVEDERE,EAST,DEVELOPING,BUILDING OUT
Industrial,2,RYV,ROYAL VISTA,NORTHWEST,N/A,
Residential,1,THS,TWINHILLS,EAST,DEVELOPING,BUILDING OUT
Industrial,2,HIF,HIGHFIELD,CENTRE,N/A,EMPLOYMENT
Residential,1,CPF,COPPERFIELD,SOUTHEAST,DEVELOPING,BUILDING OUT
Residential,1,SIG,SIGNAL HILL,WEST,ESTABLISHED,1980s/1990s
Residential,1,CAM,CAMBRIAN HEIGHTS,CENTRE,ESTABLISHED,1950s
Residential,1,BRT,BRITANNIA,CENTRE,ESTABLISHED,1950s
Industrial,2,FHI,FOOTHILLS,EAST,N/A,EMPLOYMENT
Industrial,2,GBP,GLENDEER BUSINESS PARK,SOUTH,N/A,EMPLOYMENT
Industrial,2,MER,MERIDIAN,NORTHEAST,N/A,EMPLOYMENT
Industrial,2,GRI,GREENVIEW INDUSTRIAL PARK,CENTRE,N/A,EMPLOYMENT
Residential,1,WBN,WOODBINE,SOUTH,ESTABLISHED,1980s/1990s
Residential,1,HID,HIDDEN VALLEY,NORTH,ESTABLISHED,1980s/1990s
Residential,1,RUN,RUNDLE,NORTHEAST,ESTABLISHED,1960s/1970s
Residential,1,ERI,ERIN WOODS,EAST,ESTABLISHED,1980s/1990s
Residential,1,PIN,PINERIDGE,NORTHEAST,ESTABLISHED,1960s/1970s
Residential,1,HIW,HIGHWOOD,CENTRE,ESTABLISHED,1950s
Residential,1,MAL,MAYLAND HEIGHTS,NORTHEAST,ESTABLISHED,1960s/1970s
Residential,1,MAC,MACEWAN GLEN,NORTH,ESTABLISHED,1980s/1990s
Residential,1,DRG,DEER RIDGE,SOUTH,ESTABLISHED,1980s/1990s
Residential,1,MOP,MOUNT PLEASANT,CENTRE,ESTABLISHED,INNER CITY
Residential,1,SSW,SCARBORO/ SUNALTA WEST,CENTRE,ESTABLISHED,1950s
Industrial,2,OSH,OGDEN SHOPS,EAST,N/A,EMPLOYMENT
Major Park,3,COP,CANADA OLYMPIC PARK,WEST,N/A,OTHER
Residential,1,SOV,SOUTHVIEW,EAST,ESTABLISHED,1950s
Residential,1,EDG,EDGEMONT,NORTHWEST,ESTABLISHED,1980s/1990s
Residential,1,RED,RED CARPET,EAST,ESTABLISHED,1960s/1970s
Residential,1,CUR,CURRIE BARRACKS,WEST,ESTABLISHED,BUILDING OUT
Residential,1,SSD,SUNNYSIDE,CENTRE,ESTABLISHED,INNER CITY
Residential,1,CAP,CAPITOL HILL,CENTRE,ESTABLISHED,1950s
Residential,1,UMR,UPPER MOUNT ROYAL,CENTRE,ESTABLISHED,INNER CITY
Industrial,2,SRI,SADDLE RIDGE INDUSTRIAL,NORTHEAST,N/A,EMPLOYMENT
Residential,1,SAD,SADDLE RIDGE,NORTHEAST,DEVELOPING,2000s
Industrial,2,MCI,MCCALL,NORTHEAST,N/A,EMPLOYMENT
Residential,1,BED,BEDDINGTON HEIGHTS,NORTH,ESTABLISHED,1960s/1970s
Industrial,2,GTI,GOLDEN TRIANGLE,EAST,N/A,EMPLOYMENT
Residential,1,PAT,PATTERSON,WEST,ESTABLISHED,1980s/1990s
Residential,1,SOC,SOUTH CALGARY,CENTRE,ESTABLISHED,INNER CITY
Residential,1,COR,CORAL SPRINGS,NORTHEAST,ESTABLISHED,2000s
Residential,1,EAU,EAU CLAIRE,CENTRE,ESTABLISHED,CENTRE CITY
Residential,1,MCK,MCKENZIE LAKE,SOUTHEAST,ESTABLISHED,1980s/1990s
Residential,1,MIS,MISSION,CENTRE,ESTABLISHED,INNER CITY
Residential,1,GBK,GLENBROOK,WEST,ESTABLISHED,1950s
Residential,1,TUX,TUXEDO PARK,CENTRE,ESTABLISHED,INNER CITY
Residential,1,DNE,DOWNTOWN EAST VILLAGE,CENTRE,ESTABLISHED,CENTRE CITY
Residential,1,LPK,LINCOLN PARK,WEST,ESTABLISHED,1950s
Residential,1,STR,STRATHCONA PARK,WEST,ESTABLISHED,1980s/1990s
Residential,1,CHR,CHRISTIE PARK,WEST,ESTABLISHED,1980s/1990s
Residential,1,SHG,SHAGANAPPI,CENTRE,ESTABLISHED,1950s
Residential,1,NHU,NORTH HAVEN UPPER,NORTH,ESTABLISHED,1960s/1970s
Residential,1,ING,INGLEWOOD,CENTRE,ESTABLISHED,INNER CITY
51.0423086, -114.0243025 51.0423092, -114.0243424 51.042311, -114.0243801 51.0423115, -114.0244236 51.0423134, -114.0244649 51.0423162, -114.0245186 51.0423176
Residential,1,SOM,SOMERSET,SOUTH,ESTABLISHED,1980s/1990s
Residential,1,SAN,SANDSTONE VALLEY,NORTH,ESTABLISHED,1980s/1990s
Residential,1,HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,CENTRE,ESTABLISHED,1950s
Residential,1,SDC,SUNDANCE,SOUTH,ESTABLISHED,1980s/1990s
Residential,1,ASP,ASPEN WOODS,WEST,DEVELOPING,BUILDING OUT
Industrial,2,EFV,EAST FAIRVIEW INDUSTRIAL,SOUTH,N/A,EMPLOYMENT
Residential,1,UOC,UNIVERSITY OF CALGARY,NORTHWEST,ESTABLISHED,OTHER
Residential,1,WHL,WEST HILLHURST,CENTRE,ESTABLISHED,INNER CITY
Residential,1,RCK,ROSSCARROCK,WEST,ESTABLISHED,1950s
Residential,1,KIL,KILLARNEY/GLENGARRY,CENTRE,ESTABLISHED,1950s
Residential,1,CAN,CANYON MEADOWS,SOUTH,ESTABLISHED,1960s/1970s
Residential,1,FAI,FAIRVIEW,SOUTH,ESTABLISHED,1950s
Residential,1,BEL,BEL-AIRE,CENTRE,ESTABLISHED,1960s/1970s
Residential,1,MOR,MONTEREY PARK,NORTHEAST,ESTABLISHED,2000s
Residential,1,DIS,DISCOVERY RIDGE,WEST,ESTABLISHED,2000s
Residential,1,HPK,HIGHLAND PARK,CENTRE,ESTABLISHED,1950s
Residential,1,HUN,HUNTINGTON HILLS,NORTH,ESTABLISHED,1960s/1970s
Major Park,3,NPK,NOSE HILL PARK,NORTHWEST,N/A,PARKS
Residual Sub Area,4,01K,01K,NORTHWEST,N/A,UNDEVELOPED
Residual Sub Area,4,09D,09D,CENTRE,N/A,UNDEVELOPED
Industrial,2,WES,WESTWINDS,NORTHEAST,N/A,EMPLOYMENT
Residential,1,GRV,GREENVIEW,CENTRE,ESTABLISHED,1960s/1970s
Residential,1,SGH,SAGE HILL,NORTH,DEVELOPING,BUILDING OUT
Residential,1,DNC,DOWNTOWN COMMERCIAL CORE,CENTRE,ESTABLISHED,CENTRE CITY
Residential,1,MID,MIDNAPORE,SOUTH,ESTABLISHED,1960s/1970s
Residential,1,STA,ST. ANDREWS HEIGHTS,CENTRE,ESTABLISHED,1950s
Residential,1,EPK,ELBOW PARK,CENTRE,ESTABLISHED,INNER CITY
Residential,1,DRN,DEER RUN,SOUTH,ESTABLISHED,1980s/1990s
Residential,1,BYV,BAYVIEW,SOUTH,ESTABLISHED,1960s/1970s
Residential,1,WLD,WILDWOOD,WEST,ESTABLISHED,1950s
Residential,1,MLR,MILLRISE,SOUTH,ESTABLISHED,1980s/1990s
Residual Sub Area,4,12K,12K,SOUTHEAST,N/A,UNDEVELOPED
Residential,1,HKS,HOTCHKISS,SOUTHEAST,DEVELOPING,BUILDING OUT
Residential,1,HSN,HASKAYNE,NORTHWEST,DEVELOPING,BUILDING OUT
Residual Sub Area,4,05G,05G,NORTHEAST,N/A,UNDEVELOPED
Residential,1,HSD,HOMESTEAD,NORTHEAST,DEVELOPING,BUILDING OUT
Residential,1,SET,SETON,SOUTHEAST,DEVELOPING,BUILDING OUT
Residential,1,CRA,CRANSTON,SOUTHEAST,DEVELOPING,BUILDING OUT
50.8646669, -113.9872948 50.8646377, -113.9872836 50.8646186, -113.9872687 50.8645931, -113.9872524 50.8645662, -113.9872338 50.8645385, -113.9871949 50.8645026
Residential,1,REN,RENFREW,CENTRE,ESTABLISHED,INNER CITY
Residential,1,ACA,ACADIA,SOUTH,ESTABLISHED,1960s/1970s
Residential,1,COU,COUNTRY HILLS,NORTH,ESTABLISHED,1980s/1990s
Residential,1,BDO,BONAVISTA DOWNS,SOUTH,ESTABLISHED,1960s/1970s
Residential,1,WGT,WESTGATE,WEST,ESTABLISHED,1950s
Residential,1,LEG,LEGACY,SOUTH,DEVELOPING,BUILDING OUT
Residential,1,CAR,CARRINGTON,NORTH,DEVELOPING,BUILDING OUT
Residential,1,ABT,AMBLETON,NORTH,DEVELOPING,BUILDING OUT
Residential,1,SVR,SYMONS VALLEY RANCH,NORTH,DEVELOPING,BUILDING OUT
Residential,1,GLR,GLACIER RIDGE,NORTH,DEVELOPING,
1360507 51.1881266, -114.1360425 51.1881237, -114.1360299 51.1881163, -114.136029 51.1881157, -114.1360164 51.1881072, -114.1360122 51.1881023, -114.1360107 51.1881006
Residential,1,KSH,KEYSTONE HILLS,NORTH,DEVELOPING,BUILDING OUT
Residential,1,RSN,REDSTONE,NORTHEAST,DEVELOPING,2000s
Industrial,2,ST4,STONEY 4,NORTHEAST,N/A,EMPLOYMENT
Industrial,2,AYB,ALYTH/BONNYBROOK,CENTRE,N/A,EMPLOYMENT
Residential,1,WSP,WEST SPRINGS,WEST,DEVELOPING,BUILDING OUT
Industrial,2,DBC,DEERFOOT BUSINESS CENTRE,NORTHEAST,N/A,EMPLOYMENT
Residential,1,PUM,PUMP HILL,SOUTH,ESTABLISHED,1960s/1970s
Industrial,2,ESH,EAST SHEPARD INDUSTRIAL,SOUTHEAST,N/A,EMPLOYMENT
Residential,1,GDL,GLENDALE,WEST,ESTABLISHED,1950s
Industrial,2,SFH,SOUTH FOOTHILLS,SOUTHEAST,N/A,EMPLOYMENT
Industrial,2,ST3,STONEY 3,NORTHEAST,N/A,EMPLOYMENT
Residential,1,CRE,CRESCENT HEIGHTS,CENTRE,ESTABLISHED,INNER CITY
Residential,1,LKB,LAKE BONAVISTA,SOUTH,ESTABLISHED,1960s/1970s
Residential,1,DDG,DOUGLASDALE/GLEN,SOUTHEAST,ESTABLISHED,1980s/1990s
8348, -113.9919921 50.9328028, -113.9919806 50.9327749, -113.9919669 50.932748, -113.9919554 50.9327256, -113.9919402 50.9326995, -113.991928 50.9326785
Residential,1,VAL,VALLEY RIDGE,WEST,ESTABLISHED,2000s
